epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,1407.79,0.70863,1.23681,0.6141,1.0903,0.94004,0.85185,0.9392,0.77755,0.95052,0.86111,0.9366,0.77164,0.58413,1.18522,0.43223,1.01664,0.0008021,0.0008021,0.0008021
123,1419.12,0.6869,1.24205,0.61574,1.0693,0.88814,0.90741,0.92265,0.76883,0.93274,0.88889,0.93126,0.75789,0.63127,1.298,0.45939,1.06912,0.0007922,0.0007922,0.0007922
124,1430.4,0.7058,1.28328,0.62723,1.10249,0.9102,0.88889,0.92817,0.78147,0.94765,0.87963,0.93083,0.78069,0.58306,1.11234,0.45769,1.01862,0.0007823,0.0007823,0.0007823
125,1441.78,0.67091,1.21644,0.60044,1.08899,0.89575,0.87517,0.92052,0.76228,0.9052,0.88417,0.92932,0.76656,0.62068,1.17335,0.5239,1.05666,0.0007724,0.0007724,0.0007724
126,1453.28,0.69753,1.26258,0.63369,1.09361,0.89662,0.88342,0.9256,0.77692,0.91537,0.9014,0.94052,0.78624,0.59872,1.20188,0.43972,1.02533,0.0007625,0.0007625,0.0007625
127,1464.6,0.70528,1.27378,0.64516,1.11164,0.87214,0.89815,0.92259,0.78066,0.8812,0.89815,0.92958,0.76729,0.5661,1.1393,0.47751,0.99579,0.0007526,0.0007526,0.0007526
128,1476.01,0.68816,1.23515,0.61027,1.09225,0.90713,0.90449,0.91954,0.78771,0.91642,0.91375,0.93121,0.77391,0.56444,1.20412,0.43471,0.99835,0.0007427,0.0007427,0.0007427
129,1487.33,0.68492,1.23913,0.62887,1.08587,0.94087,0.88394,0.94347,0.78968,0.95072,0.8932,0.94998,0.785,0.6011,1.17512,0.4259,1.02725,0.0007328,0.0007328,0.0007328
130,1498.57,0.69201,1.26809,0.60207,1.08493,0.94788,0.86111,0.93269,0.7877,0.94788,0.86111,0.94124,0.79049,0.56368,1.19652,0.43834,1.00628,0.0007229,0.0007229,0.0007229
131,1509.9,0.67358,1.20507,0.60166,1.08051,0.88056,0.87963,0.9294,0.77865,0.88982,0.88889,0.9358,0.76986,0.58439,1.14873,0.4243,1.03244,0.000713,0.000713,0.000713
132,1521.2,0.68507,1.24916,0.60458,1.08362,0.90648,0.89749,0.9265,0.78273,0.90588,0.89122,0.93123,0.76814,0.57498,1.25121,0.4389,1.02291,0.0007031,0.0007031,0.0007031
133,1532.63,0.69942,1.24421,0.60677,1.10501,0.9343,0.87037,0.93904,0.79778,0.9343,0.87037,0.9386,0.79597,0.56286,1.06303,0.42072,0.99935,0.0006932,0.0006932,0.0006932
134,1544.06,0.67179,1.20546,0.59626,1.06612,0.92025,0.87963,0.93417,0.78892,0.92025,0.87963,0.93946,0.78078,0.56867,1.14125,0.4197,1.00273,0.0006833,0.0006833,0.0006833
135,1555.52,0.66803,1.21349,0.58758,1.07534,0.90314,0.86339,0.91829,0.78454,0.91266,0.8708,0.93193,0.77239,0.57094,1.24782,0.46195,1.03985,0.0006734,0.0006734,0.0006734
136,1566.77,0.7077,1.26275,0.60785,1.10341,0.9071,0.86111,0.92743,0.78484,0.9071,0.86111,0.93267,0.76738,0.55709,1.21993,0.4614,1.00529,0.0006635,0.0006635,0.0006635
137,1578.17,0.66469,1.16116,0.59039,1.07602,0.93247,0.89495,0.94027,0.79377,0.93247,0.89495,0.93653,0.78003,0.59655,1.30557,0.42059,1.02407,0.0006536,0.0006536,0.0006536
138,1589.53,0.68187,1.23817,0.60048,1.07291,0.91027,0.86111,0.92605,0.787,0.92005,0.87037,0.9316,0.78945,0.58558,1.15084,0.45888,1.01388,0.0006437,0.0006437,0.0006437
139,1600.77,0.72229,1.31843,0.6386,1.11413,0.92826,0.83871,0.91384,0.77982,0.94786,0.84161,0.92313,0.76163,0.58272,1.16113,0.46616,1.02597,0.0006338,0.0006338,0.0006338
140,1612.1,0.66803,1.23309,0.58257,1.07482,0.91096,0.89815,0.92423,0.79529,0.91416,0.89815,0.92968,0.77461,0.55111,1.22217,0.4447,1.00226,0.0006239,0.0006239,0.0006239
141,1623.41,0.7024,1.21069,0.58465,1.09608,0.92355,0.8949,0.90958,0.76699,0.93311,0.90416,0.93132,0.77378,0.58892,1.2069,0.43549,1.02699,0.000614,0.000614,0.000614
142,1635.05,0.67265,1.23056,0.58293,1.06975,0.92126,0.89815,0.91902,0.76772,0.92126,0.89815,0.9283,0.75434,0.56985,1.20632,0.45472,1.01084,0.0006041,0.0006041,0.0006041
143,1646.62,0.65976,1.14015,0.56187,1.06865,0.90306,0.89815,0.92056,0.78259,0.90306,0.89815,0.92229,0.76557,0.57761,1.20699,0.46213,1.01914,0.0005942,0.0005942,0.0005942
144,1657.97,0.66997,1.20203,0.60467,1.08373,0.9158,0.87963,0.93109,0.78549,0.93521,0.89815,0.93575,0.7701,0.55879,1.1794,0.41628,1.00842,0.0005843,0.0005843,0.0005843
145,1669.31,0.66161,1.17815,0.5725,1.06892,0.89959,0.89815,0.9301,0.79502,0.8969,0.88604,0.91167,0.76058,0.56559,1.17389,0.43438,1.01996,0.0005744,0.0005744,0.0005744
146,1680.67,0.68939,1.22528,0.61108,1.08112,0.91612,0.91017,0.94521,0.7941,0.91612,0.91017,0.94408,0.78224,0.57414,1.21206,0.42217,1.01818,0.0005645,0.0005645,0.0005645
147,1691.99,0.6647,1.22301,0.59014,1.0746,0.8997,0.91667,0.92836,0.80119,0.91547,0.90252,0.93565,0.77899,0.56476,1.26764,0.4373,1.01667,0.0005546,0.0005546,0.0005546
148,1703.4,0.66743,1.2064,0.57918,1.0683,0.92552,0.87037,0.92748,0.78901,0.92963,0.87037,0.92935,0.77747,0.58142,1.27276,0.47602,1.01844,0.0005447,0.0005447,0.0005447
149,1714.73,0.6465,1.14454,0.56331,1.06087,0.92148,0.86933,0.93377,0.78158,0.93128,0.87841,0.9307,0.76148,0.6146,1.2602,0.4351,1.05173,0.0005348,0.0005348,0.0005348
150,1726.1,0.63993,1.19224,0.55827,1.04922,0.90503,0.88239,0.93316,0.78774,0.91448,0.89109,0.9372,0.76676,0.58902,1.24694,0.43138,1.04662,0.0005249,0.0005249,0.0005249
151,1737.43,0.65851,1.20216,0.55347,1.05917,0.91198,0.92593,0.94507,0.79949,0.92164,0.93519,0.94997,0.77746,0.56707,1.23091,0.39462,1.0218,0.000515,0.000515,0.000515
152,1748.83,0.65476,1.20299,0.5826,1.06666,0.92082,0.88889,0.9278,0.78701,0.92082,0.88889,0.93113,0.76369,0.5709,1.24036,0.42111,1.03165,0.0005051,0.0005051,0.0005051
153,1760.23,0.64622,1.20042,0.54994,1.05723,0.93127,0.88889,0.92774,0.79135,0.95227,0.87037,0.93013,0.77377,0.56686,1.22497,0.44267,1.01518,0.0004952,0.0004952,0.0004952
154,1771.7,0.63223,1.12126,0.53847,1.04565,0.91051,0.88889,0.92595,0.79087,0.91999,0.89815,0.93316,0.77793,0.57021,1.19155,0.43205,1.01894,0.0004853,0.0004853,0.0004853
155,1783.17,0.65576,1.20344,0.57923,1.0669,0.88196,0.89941,0.93333,0.79403,0.93301,0.86111,0.93589,0.77747,0.5668,1.23739,0.41569,1.01921,0.0004754,0.0004754,0.0004754
156,1794.65,0.63961,1.15487,0.53513,1.05784,0.93179,0.8855,0.92806,0.78824,0.95128,0.90392,0.94053,0.77798,0.57135,1.19946,0.42774,1.01208,0.0004655,0.0004655,0.0004655
157,1806.13,0.64893,1.14776,0.56207,1.06423,0.92058,0.87963,0.91098,0.77811,0.93207,0.89815,0.92089,0.7603,0.56905,1.21396,0.45846,1.03027,0.0004556,0.0004556,0.0004556
158,1817.65,0.63062,1.15911,0.54033,1.04861,0.9238,0.89808,0.92195,0.79029,0.93333,0.90734,0.93545,0.77382,0.54757,1.18305,0.45297,1.00067,0.0004457,0.0004457,0.0004457
159,1829.04,0.64437,1.16046,0.55557,1.0707,0.92133,0.91667,0.94571,0.80179,0.93063,0.92593,0.95029,0.79218,0.56092,1.16171,0.41444,1.01189,0.0004358,0.0004358,0.0004358
160,1840.46,0.64513,1.09854,0.54146,1.05471,0.90731,0.90641,0.93371,0.78961,0.91658,0.91566,0.94542,0.78441,0.55974,1.19287,0.43447,1.0155,0.0004259,0.0004259,0.0004259
161,1852.02,0.63063,1.1213,0.52748,1.05129,0.91417,0.88755,0.92292,0.7969,0.95857,0.87037,0.93655,0.78176,0.56704,1.27462,0.42638,1.04699,0.000416,0.000416,0.000416
162,1863.51,0.65032,1.16059,0.54723,1.06014,0.93052,0.86802,0.92943,0.78277,0.91297,0.90741,0.94167,0.76617,0.59213,1.31681,0.41273,1.05399,0.0004061,0.0004061,0.0004061
163,1875.01,0.63022,1.13047,0.53574,1.0486,0.89562,0.89815,0.92657,0.79134,0.89562,0.89815,0.93216,0.76961,0.55795,1.25866,0.40498,1.02387,0.0003962,0.0003962,0.0003962
164,1886.46,0.63009,1.11192,0.5331,1.04649,0.90716,0.91667,0.93477,0.79905,0.91633,0.92593,0.94236,0.78281,0.55737,1.23256,0.41965,1.01684,0.0003863,0.0003863,0.0003863
165,1897.88,0.63173,1.13828,0.52906,1.05743,0.88277,0.89815,0.92793,0.7885,0.88277,0.89815,0.93275,0.77586,0.55054,1.17619,0.40445,1.00858,0.0003764,0.0003764,0.0003764
166,1909.21,0.66942,1.22253,0.58229,1.0778,0.94976,0.87527,0.92632,0.794,0.94976,0.87527,0.92737,0.77719,0.55142,1.24452,0.42076,1.01987,0.0003665,0.0003665,0.0003665
167,1920.71,0.64309,1.15008,0.54401,1.05618,0.88482,0.92474,0.92482,0.78849,0.89367,0.93388,0.94043,0.77646,0.55059,1.30241,0.41182,1.01072,0.0003566,0.0003566,0.0003566
168,1932.22,0.623,1.16687,0.52404,1.03848,0.89788,0.90741,0.92569,0.80645,0.89788,0.90741,0.93083,0.77534,0.52801,1.28299,0.41019,1.00249,0.0003467,0.0003467,0.0003467
169,1943.57,0.62364,1.13252,0.52042,1.04044,0.95328,0.85185,0.92705,0.79227,0.91484,0.89527,0.93454,0.76727,0.54297,1.2696,0.4121,0.99417,0.0003368,0.0003368,0.0003368
170,1955.03,0.65177,1.16729,0.55063,1.05996,0.91992,0.86111,0.92788,0.79464,0.92981,0.87037,0.93566,0.77319,0.51985,1.23191,0.40874,0.98479,0.0003269,0.0003269,0.0003269
171,1966.41,0.63201,1.11229,0.53288,1.05572,0.9122,0.87037,0.92953,0.79695,0.90347,0.90741,0.93824,0.78075,0.53756,1.2846,0.4475,1.00083,0.000317,0.000317,0.000317
172,1977.67,0.65375,1.19943,0.54717,1.05832,0.9118,0.87963,0.93579,0.80768,0.92154,0.88889,0.945,0.78274,0.53896,1.29172,0.42506,1.00355,0.0003071,0.0003071,0.0003071
173,1989.02,0.62876,1.16956,0.53935,1.05905,0.92288,0.88889,0.92716,0.78667,0.92288,0.88889,0.9305,0.76837,0.54899,1.29154,0.44641,1.00816,0.0002972,0.0002972,0.0002972
174,2000.41,0.62998,1.12758,0.51969,1.04598,0.92776,0.88889,0.92569,0.79342,0.93043,0.88889,0.92491,0.77324,0.53739,1.21984,0.44221,1.00195,0.0002873,0.0002873,0.0002873
175,2011.76,0.62998,1.13332,0.51016,1.05085,0.94564,0.87037,0.92682,0.79407,0.95082,0.89507,0.92651,0.77693,0.55375,1.20725,0.42775,1.00779,0.0002774,0.0002774,0.0002774
176,2023.16,0.6175,1.13913,0.52181,1.03744,0.88819,0.88889,0.91749,0.78776,0.94943,0.84259,0.92088,0.76612,0.532,1.23918,0.47194,0.99892,0.0002675,0.0002675,0.0002675
177,2034.55,0.63438,1.17778,0.54659,1.05934,0.95901,0.87963,0.93032,0.79834,0.95901,0.87963,0.92753,0.78114,0.5412,1.18908,0.44583,1.00695,0.0002576,0.0002576,0.0002576
178,2045.94,0.63011,1.12586,0.51446,1.05511,0.92191,0.8745,0.9338,0.80731,0.94173,0.89792,0.93517,0.79618,0.52113,1.19401,0.40789,0.98109,0.0002477,0.0002477,0.0002477
179,2057.44,0.62963,1.12312,0.52256,1.05376,0.93488,0.87037,0.92751,0.79998,0.93488,0.87037,0.92928,0.78543,0.51339,1.18855,0.44054,0.96968,0.0002378,0.0002378,0.0002378
180,2069.54,0.61926,1.12503,0.53563,1.04629,0.9395,0.86268,0.9293,0.79889,0.9395,0.86268,0.93171,0.77649,0.52454,1.20329,0.43344,0.98468,0.0002279,0.0002279,0.0002279
181,2080.83,0.62552,1.13066,0.50494,1.04954,0.92984,0.85905,0.91488,0.79261,0.93986,0.86823,0.92612,0.77349,0.5254,1.22452,0.45235,0.97993,0.000218,0.000218,0.000218
182,2092.17,0.60899,1.08563,0.51046,1.04031,0.88162,0.89649,0.92087,0.79692,0.93615,0.85185,0.92985,0.77798,0.52455,1.22454,0.44483,0.98162,0.0002081,0.0002081,0.0002081
183,2103.4,0.60416,1.11395,0.49884,1.03285,0.93974,0.86634,0.92107,0.79126,0.93974,0.86634,0.92834,0.77252,0.5445,1.28205,0.43806,0.99556,0.0001982,0.0001982,0.0001982
184,2114.51,0.62858,1.18526,0.54433,1.0513,0.93712,0.87037,0.92374,0.79085,0.94709,0.87963,0.93114,0.77956,0.55167,1.27308,0.44397,1.0144,0.0001883,0.0001883,0.0001883
185,2125.74,0.59797,1.0849,0.51472,1.0279,0.91108,0.88889,0.91838,0.79393,0.93006,0.90741,0.9411,0.77943,0.54838,1.26932,0.42941,1.01955,0.0001784,0.0001784,0.0001784
186,2137.08,0.60852,1.06823,0.50417,1.03175,0.86614,0.90741,0.91723,0.78475,0.88305,0.90888,0.92347,0.76996,0.53902,1.27534,0.45791,0.99687,0.0001685,0.0001685,0.0001685
187,2148.36,0.61615,1.1526,0.51054,1.04137,0.91362,0.88142,0.92782,0.79062,0.9232,0.89051,0.93555,0.78599,0.55157,1.32188,0.44406,1.00444,0.0001586,0.0001586,0.0001586
188,2159.59,0.60465,1.07854,0.50414,1.03786,0.93189,0.88687,0.92448,0.79539,0.94161,0.89593,0.93258,0.78065,0.53124,1.27226,0.43284,0.99423,0.0001487,0.0001487,0.0001487
189,2170.82,0.60951,1.0956,0.49694,1.04747,0.93112,0.87624,0.92198,0.79506,0.95078,0.89435,0.93143,0.77724,0.53605,1.27145,0.44168,0.99673,0.0001388,0.0001388,0.0001388
190,2182.09,0.62064,1.15526,0.51693,1.04275,0.89671,0.89815,0.92188,0.78823,0.92478,0.92593,0.93443,0.78184,0.52871,1.25867,0.43761,0.99726,0.0001289,0.0001289,0.0001289
191,2192.27,0.41989,0.73535,0.32238,0.92424,0.91887,0.86111,0.90741,0.75923,0.89898,0.90635,0.91408,0.75328,0.54075,1.32292,0.42696,1.00743,0.000119,0.000119,0.000119
192,2201.96,0.42072,0.71353,0.29889,0.9246,0.90377,0.88889,0.91556,0.77369,0.91324,0.89815,0.91834,0.75789,0.52873,1.28864,0.40988,0.99229,0.0001091,0.0001091,0.0001091
193,2211.6,0.4048,0.69817,0.2763,0.91042,0.94471,0.87037,0.92077,0.78017,0.95476,0.87963,0.92292,0.76333,0.54055,1.28926,0.41651,1.00768,9.92e-05,9.92e-05,9.92e-05
194,2221.24,0.40976,0.70622,0.27516,0.92245,0.91978,0.88889,0.92296,0.77651,0.93894,0.90741,0.93701,0.76956,0.5513,1.32884,0.4257,1.0158,8.93e-05,8.93e-05,8.93e-05
195,2230.87,0.41393,0.70523,0.27321,0.92301,0.91175,0.88889,0.92099,0.77909,0.93088,0.90741,0.93589,0.77031,0.53436,1.33843,0.43853,1.00625,7.94e-05,7.94e-05,7.94e-05
196,2240.53,0.39488,0.66214,0.26375,0.8982,0.91344,0.87963,0.91958,0.78421,0.92306,0.88889,0.92209,0.7634,0.54239,1.33675,0.43571,1.00072,6.95e-05,6.95e-05,6.95e-05
197,2250.17,0.39564,0.66864,0.25869,0.90668,0.91326,0.87746,0.92109,0.78895,0.9229,0.88672,0.92155,0.75973,0.54083,1.32979,0.43812,0.99823,5.96e-05,5.96e-05,5.96e-05
198,2259.9,0.41046,0.69407,0.27397,0.90938,0.93878,0.85199,0.92337,0.78746,0.94899,0.86125,0.92423,0.76568,0.54753,1.3205,0.444,1.00326,4.97e-05,4.97e-05,4.97e-05
199,2269.53,0.39555,0.68161,0.26373,0.90353,0.94864,0.87037,0.92282,0.78755,0.95873,0.87963,0.92469,0.76953,0.53977,1.311,0.42819,1.00327,3.98e-05,3.98e-05,3.98e-05
200,2279.17,0.38663,0.66245,0.24535,0.90279,0.94326,0.85185,0.92104,0.78398,0.94903,0.87963,0.9271,0.76744,0.54114,1.31758,0.4348,1.0023,2.99e-05,2.99e-05,2.99e-05
