epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,356.385,0.92387,1.62624,0.97019,1.26609,0.85196,0.7963,0.88885,0.68757,0.86187,0.80556,0.89036,0.68375,0.70734,1.37966,0.66609,1.10911,0.0017129,0.0017129,0.0017129
31,367.694,0.91946,1.69204,0.93828,1.23809,0.83786,0.85185,0.87978,0.68084,0.8195,0.83333,0.87126,0.67941,0.76957,1.32567,0.65864,1.12593,0.001703,0.001703,0.001703
32,379.123,0.90499,1.60207,0.92605,1.23181,0.8939,0.81481,0.92235,0.72852,0.86999,0.86745,0.92017,0.72054,0.70809,1.26418,0.61199,1.10929,0.0016931,0.0016931,0.0016931
33,390.656,0.93897,1.62618,0.95404,1.26449,0.86176,0.80811,0.85458,0.66374,0.89129,0.8351,0.88347,0.68658,0.7459,1.39099,0.76151,1.14597,0.0016832,0.0016832,0.0016832
34,402.076,0.91531,1.62623,0.93362,1.24011,0.9153,0.73148,0.85677,0.68048,0.9153,0.73148,0.85899,0.64961,0.78128,1.58968,0.73954,1.13712,0.0016733,0.0016733,0.0016733
35,413.424,0.86533,1.554,0.89722,1.20908,0.89484,0.86672,0.91225,0.70905,0.91396,0.88524,0.93041,0.73524,0.7694,1.28447,0.64125,1.1364,0.0016634,0.0016634,0.0016634
36,425.273,0.89883,1.59012,0.92664,1.2205,0.84534,0.86111,0.87412,0.67116,0.86375,0.87963,0.88661,0.68962,0.79578,1.35037,0.741,1.20424,0.0016535,0.0016535,0.0016535
37,436.542,0.90495,1.62761,0.93182,1.22953,0.9158,0.7963,0.90703,0.69645,0.92684,0.82111,0.92063,0.7108,0.75812,1.35162,0.64801,1.1327,0.0016436,0.0016436,0.0016436
38,447.948,0.88909,1.56096,0.89667,1.21665,0.89733,0.83333,0.90601,0.72384,0.89418,0.83333,0.9067,0.71653,0.73837,1.22224,0.64169,1.10791,0.0016337,0.0016337,0.0016337
39,459.258,0.9071,1.56685,0.94278,1.22282,0.8708,0.7963,0.89386,0.6918,0.88158,0.80556,0.90654,0.6874,0.75133,1.38652,0.62682,1.13305,0.0016238,0.0016238,0.0016238
40,470.696,0.87425,1.57858,0.89388,1.21521,0.92542,0.8043,0.91784,0.73312,0.94711,0.82911,0.92292,0.72972,0.66692,1.36418,0.64494,1.08287,0.0016139,0.0016139,0.0016139
41,482.04,0.86279,1.55545,0.86259,1.20685,0.89976,0.74799,0.83881,0.65106,0.82961,0.74074,0.82307,0.64861,0.72323,1.47633,0.73777,1.09703,0.001604,0.001604,0.001604
42,493.435,0.89731,1.58634,0.904,1.21598,0.87788,0.83333,0.91792,0.71801,0.87788,0.83333,0.90376,0.72889,0.73966,1.2618,0.57692,1.11982,0.0015941,0.0015941,0.0015941
43,504.847,0.89842,1.62423,0.89309,1.22918,0.85162,0.85032,0.87617,0.67848,0.86971,0.8653,0.8934,0.69138,0.76114,1.33948,0.67127,1.15267,0.0015842,0.0015842,0.0015842
44,516.162,0.87556,1.53851,0.88053,1.21352,0.85848,0.87963,0.89528,0.7122,0.86798,0.88889,0.90159,0.72004,0.70533,1.3136,0.58801,1.09833,0.0015743,0.0015743,0.0015743
45,527.455,0.88171,1.4934,0.87631,1.23522,0.88148,0.83333,0.89516,0.72476,0.88148,0.83333,0.87809,0.70535,0.71425,1.36272,0.62438,1.10636,0.0015644,0.0015644,0.0015644
46,538.769,0.84745,1.47304,0.8263,1.19263,0.86821,0.85396,0.90007,0.70017,0.88682,0.87963,0.91748,0.71017,0.69619,1.28385,0.566,1.10875,0.0015545,0.0015545,0.0015545
47,550.069,0.85514,1.52833,0.83495,1.18538,0.90307,0.86272,0.93124,0.75217,0.92685,0.82125,0.91587,0.73262,0.70954,1.29415,0.55751,1.09594,0.0015446,0.0015446,0.0015446
48,561.45,0.85522,1.51273,0.84566,1.18339,0.89995,0.83289,0.90431,0.71769,0.90996,0.84215,0.92078,0.70108,0.70354,1.46535,0.57567,1.12492,0.0015347,0.0015347,0.0015347
49,572.929,0.8247,1.46567,0.82887,1.18131,0.92574,0.82407,0.90326,0.7277,0.93614,0.83333,0.91339,0.74084,0.71058,1.23467,0.57484,1.11574,0.0015248,0.0015248,0.0015248
50,584.368,0.83453,1.55679,0.85477,1.17859,0.86829,0.87037,0.90057,0.72081,0.88538,0.88889,0.92036,0.72261,0.68899,1.25123,0.57215,1.09763,0.0015149,0.0015149,0.0015149
51,595.903,0.84988,1.4722,0.83463,1.16916,0.84915,0.84259,0.88881,0.72553,0.8441,0.85228,0.90754,0.72468,0.72924,1.34852,0.59515,1.11605,0.001505,0.001505,0.001505
52,607.293,0.86199,1.49978,0.83379,1.19541,0.89616,0.85185,0.91036,0.73382,0.90618,0.86111,0.92035,0.72924,0.7248,1.31918,0.56829,1.09012,0.0014951,0.0014951,0.0014951
53,618.653,0.84617,1.54136,0.83259,1.18507,0.84898,0.85185,0.8861,0.71465,0.87543,0.84259,0.9064,0.72726,0.73253,1.25655,0.61125,1.11312,0.0014852,0.0014852,0.0014852
54,629.983,0.86242,1.51514,0.84721,1.20003,0.86984,0.87037,0.91247,0.7236,0.8791,0.87963,0.9349,0.73895,0.70522,1.21089,0.54514,1.11785,0.0014753,0.0014753,0.0014753
55,641.373,0.83298,1.50492,0.80453,1.18652,0.89865,0.82105,0.91672,0.72751,0.90879,0.83031,0.91996,0.71996,0.72206,1.35325,0.5918,1.09265,0.0014654,0.0014654,0.0014654
56,652.793,0.85097,1.48055,0.84369,1.20139,0.90899,0.83236,0.91031,0.73426,0.90899,0.83236,0.91174,0.73647,0.71952,1.19688,0.55268,1.09963,0.0014555,0.0014555,0.0014555
57,664.108,0.82818,1.43534,0.82234,1.17598,0.91214,0.86519,0.92851,0.74478,0.93164,0.88331,0.94269,0.7638,0.65094,1.17087,0.5256,1.06351,0.0014456,0.0014456,0.0014456
58,675.467,0.82932,1.44688,0.79715,1.17108,0.89147,0.87037,0.92756,0.74355,0.90636,0.89624,0.94138,0.75274,0.66306,1.15322,0.54023,1.05001,0.0014357,0.0014357,0.0014357
59,686.742,0.82334,1.47367,0.80499,1.17296,0.92706,0.87037,0.9365,0.74547,0.90733,0.85185,0.93431,0.73785,0.66226,1.25618,0.50643,1.06688,0.0014258,0.0014258,0.0014258
60,697.995,0.84258,1.44156,0.81288,1.18905,0.93872,0.85109,0.93321,0.77173,0.94894,0.86035,0.94409,0.76816,0.60826,1.13743,0.54592,1.03069,0.0014159,0.0014159,0.0014159
61,709.439,0.82092,1.39496,0.78056,1.16793,0.84531,0.86016,0.91553,0.73006,0.85407,0.86704,0.93293,0.72193,0.66396,1.28835,0.5844,1.08586,0.001406,0.001406,0.001406
62,720.782,0.79727,1.40732,0.79109,1.16669,0.83631,0.88889,0.91471,0.74403,0.86244,0.91667,0.93352,0.74858,0.65707,1.28129,0.54181,1.07296,0.0013961,0.0013961,0.0013961
63,732.179,0.80713,1.43698,0.77643,1.16602,0.82312,0.86177,0.9093,0.72157,0.83965,0.87274,0.91287,0.71255,0.6973,1.36642,0.58603,1.10313,0.0013862,0.0013862,0.0013862
64,743.635,0.80574,1.40015,0.77259,1.15572,0.887,0.87221,0.93099,0.75438,0.90581,0.89049,0.93959,0.74155,0.64255,1.30228,0.485,1.07017,0.0013763,0.0013763,0.0013763
65,755.249,0.81868,1.4092,0.77626,1.16543,0.917,0.81837,0.90674,0.73414,0.92763,0.83083,0.92248,0.74429,0.65815,1.25967,0.61205,1.09529,0.0013664,0.0013664,0.0013664
66,766.713,0.81012,1.47268,0.77853,1.15818,0.93091,0.87329,0.93234,0.75864,0.94078,0.88255,0.94523,0.7591,0.65105,1.24043,0.50222,1.0437,0.0013565,0.0013565,0.0013565
